transaction_id,transaction_date,amount,currency,transaction_type,account_number,account_type,transaction_category,merchant_name,credit_card_number
1,3/12/2020,211354.58,COP,transfer,9214208617,investment,investment,Jaxspan,3529074100488163
2,6/27/2022,260103.12,CNY,purchase,8238328712,investment,investment,Trilith,3580795646662772
3,1/31/2020,402110.32,CNY,sale,2720500466,savings,investment,Minyx,201982247986918
4,3/11/2021,64872.92,RUB,purchase,1286884725,savings,expense,Blogtags,0604371031746287791
5,8/8/2021,922902.09,CNY,purchase,5950360091,checking,income,Jetwire,30360099237796
6,3/28/2020,900262.44,CNY,purchase,4371177873,savings,investment,Tagopia,3549827373500550
7,12/14/2021,459819.8,CNY,sale,8891651866,checking,income,Wordware,6706666419435468
8,12/6/2021,80656.01,BRL,purchase,2096865214,checking,income,Wordify,3544323740361517
9,7/20/2019,81522.19,RUB,transfer,6367888617,checking,income,Meejo,4911646268564215769
10,11/22/2020,966095.22,XOF,purchase,4538718183,investment,investment,Wikido,3530968502784896
11,2/11/2023,464968.25,CZK,purchase,2515730174,savings,expense,Jayo,3544558261117554
12,5/14/2019,63012.59,IDR,sale,5469521394,savings,expense,Kanoodle,5602213730725892
13,5/16/2023,451478.92,PLN,purchase,3630322535,savings,investment,Youbridge,3576740290936771
14,8/8/2023,765240.08,CNY,purchase,1092132797,investment,expense,Flashdog,4041374085795054
15,8/13/2022,931727.1,UYU,sale,8292089636,investment,investment,Roombo,5254485238343029
16,10/7/2021,513676.95,,sale,9745872080,savings,expense,Oodoo,4405231127389165
17,10/27/2023,342435.36,CNY,transfer,9058109369,investment,expense,Twimbo,372301453597900
18,5/2/2020,159955.98,,transfer,6617136718,savings,income,Skyvu,675993299235999394
19,6/7/2023,579218.86,RUB,transfer,8655506011,checking,expense,Oyope,5100134670440275
20,9/27/2019,803887.35,NOK,sale,8408076907,investment,investment,Kwideo,3566768008994263
21,12/22/2021,881633.24,CNY,sale,4441941661,checking,income,Jetwire,5641827605099688
22,7/5/2023,873226.05,PHP,transfer,8611630160,investment,investment,Mudo,3528640464406248
23,6/24/2019,706531.48,USD,transfer,9932080079,savings,expense,Quire,3571874318962389
24,11/21/2021,368516.06,,sale,5525650383,checking,income,Tagfeed,5108759120586830
25,9/13/2023,147866.65,CNY,sale,2271177629,investment,expense,Aivee,5602250588889644
26,5/25/2023,106056.61,IDR,sale,6647493782,,income,Oozz,670971067298289426
27,11/2/2023,193582.07,CNY,sale,1593964802,investment,income,Twiyo,5048372773521451
28,5/7/2023,989208.26,EUR,purchase,6217418471,investment,investment,,6763143379896410
29,2/6/2021,822193.14,CNY,transfer,5569859917,checking,income,Mydeo,4049078514356
30,1/3/2021,790768.39,CHF,sale,7713705494,investment,income,Livefish,3558979546232286
31,4/13/2022,58053.93,PHP,sale,7416137187,checking,income,Skidoo,30047193446387
32,6/24/2023,876873.37,NZD,purchase,4495153113,savings,income,Aivee,3546986767809424
33,7/29/2022,248408.84,ETB,sale,7547170683,checking,expense,Shuffledrive,3538931183419556
34,12/13/2020,280262.53,IDR,purchase,6280713398,investment,income,Realcube,5454160491266369
35,4/15/2022,265552.82,CNY,sale,7001983156,checking,investment,Meeveo,337941377351191
36,1/15/2023,965232.7,BRL,purchase,5737385316,savings,income,Muxo,67097678198512978
37,4/4/2020,400325.96,SEK,purchase,8441711707,,income,Dabtype,6334295422811190
38,3/30/2024,684272.56,BYR,sale,6368476114,checking,investment,Jamia,4903287159652901
39,6/18/2021,147830.96,CNY,sale,3241323986,savings,income,Agimba,4905584012920182461
40,9/19/2019,71462.51,TND,purchase,9316795422,investment,investment,Skimia,5386326990748271
